City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Poso,ID,2022-04-20 18:54:12,-1.3959,120.7524,77.18,86,100,4.7
68,Cabedelo,BR,2022-04-20 18:53:45,-6.9811,-34.8339,79.47,76,48,12.5
69,Pudozh,RU,2022-04-20 18:54:12,61.8099,36.5345,33.73,95,65,4.32
70,Torbay,CA,2022-04-20 18:54:13,47.6666,-52.7314,47.28,90,100,31.07
71,Khatanga,RU,2022-04-20 18:54:13,71.9667,102.5,-15.34,100,100,0.63
72,Caarapo,BR,2022-04-20 18:54:13,-22.6342,-54.8222,84.79,43,2,2.77
73,Sechura,PE,2022-04-20 18:54:14,-5.5569,-80.8222,72.9,73,99,1.36
74,Whitehorse,CA,2022-04-20 18:54:14,60.7161,-135.0538,33.03,50,75,3.44
75,Hasaki,JP,2022-04-20 18:54:14,35.7333,140.8333,55.8,85,46,8.41
76,Ahuimanu,US,2022-04-20 18:54:15,21.4447,-157.8378,76.86,79,68,5.01
77,Tabou,CI,2022-04-20 18:54:15,4.423,-7.3528,80.74,81,93,9.8
78,New Norfolk,AU,2022-04-20 18:54:16,-42.7826,147.0587,49.5,64,6,3.0
79,Beaverlodge,CA,2022-04-20 18:54:16,55.2166,-119.4361,27.75,77,100,5.17
80,Diego De Almagro,CL,2022-04-20 18:54:16,-26.3667,-70.05,76.86,19,87,12.86
81,Tiksi,RU,2022-04-20 18:54:17,71.6872,128.8694,5.47,99,100,4.52
82,Cidreira,BR,2022-04-20 18:54:17,-30.1811,-50.2056,70.84,67,0,7.7
83,Okhotsk,RU,2022-04-20 18:54:17,59.3833,143.3,19.22,90,100,6.08
84,Brae,GB,2022-04-20 18:54:18,60.3964,-1.353,46.49,81,100,10.4
85,Airai,TL,2022-04-20 18:54:18,-8.9266,125.4092,58.78,89,99,2.24
86,Port-Cartier,CA,2022-04-20 18:54:19,50.0334,-66.8654,39.74,95,100,16.51
87,Port-Gentil,GA,2022-04-20 18:54:19,-0.7193,8.7815,80.56,89,20,2.3
88,Yellowknife,CA,2022-04-20 18:54:19,62.456,-114.3525,30.72,31,0,6.91
89,Port Hawkesbury,CA,2022-04-20 18:54:20,45.6169,-61.3485,54.52,62,75,11.5
90,Salalah,OM,2022-04-20 18:55:16,17.0151,54.0924,79.12,76,0,4.5
91,Moranbah,AU,2022-04-20 18:55:20,-22.0016,148.0466,69.42,95,100,10.71
92,Arraial Do Cabo,BR,2022-04-20 18:55:21,-22.9661,-42.0278,78.76,73,20,11.5
93,East London,ZA,2022-04-20 18:55:21,-33.0153,27.9116,70.74,83,0,8.05
94,Beloha,MG,2022-04-20 18:55:20,-25.1667,45.05,72.75,86,93,15.68
95,Phan Thiet,VN,2022-04-20 18:55:21,10.9333,108.1,77.34,87,44,7.78
96,Giresun,TR,2022-04-20 18:55:22,40.5,38.5,30.13,86,7,1.05
