City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Harper,LR,4.375,-7.7169,81.842,83,97,3.65,light rain
79,East London,ZA,-33.0153,27.9116,85.136,54,0,2.57,clear sky
80,Iqaluit,CA,63.7506,-68.5145,11.93,72,20,6.71,few clouds
81,Jamestown,US,42.097,-79.2353,48.02,92,100,5.81,overcast clouds
82,Victoria,HK,22.2855,114.1577,76.172,87,43,2.68,scattered clouds
83,Opuwo,NA,-18.0607,13.84,82.13,25,17,4.79,few clouds
84,Aksu,CN,41.1231,80.2644,69.584,21,99,2.79,overcast clouds
85,Valkeala,FI,60.9401,26.7979,53.996,40,0,4.63,clear sky
86,Cayenne,GF,4.9333,-52.3333,80.096,1,75,1.03,moderate rain
87,Upata,VE,8.0086,-62.3989,86.27,49,100,1.8,overcast clouds
88,Cidreira,BR,-30.1811,-50.2056,71.762,63,36,2.16,scattered clouds
89,Eyl,SO,7.9803,49.8164,84.128,67,82,4.94,broken clouds
90,Barranca,PE,-10.75,-77.7667,68.774,80,99,2.95,overcast clouds
91,Brae,GB,60.3964,-1.353,51.62,71,37,6.32,scattered clouds
92,Chuy,UY,-33.6971,-53.4616,71.078,55,100,3.94,overcast clouds
93,Sakakah,SA,29.9697,40.2064,87.368,15,0,1.09,clear sky
94,Lebu,CL,-37.6167,-73.65,51.458,94,100,5.9,overcast clouds
95,Cervo,ES,43.6702,-7.4101,59.972,60,97,2.09,overcast clouds
96,Valparaiso,CL,-33.0393,-71.6273,62.834,73,0,2.57,clear sky
97,Punta Arenas,CL,-53.15,-70.9167,44.708,70,75,7.2,broken clouds
98,Kashi,CN,39.4547,75.9797,72.608,24,75,4,broken clouds
99,Gornopravdinsk,RU,60.05,69.9,18.32,72,100,4.06,overcast clouds
100,Laguna,US,38.421,-121.4238,53.888,93,100,2.57,overcast clouds
101,Iquitos,PE,-3.7481,-73.2472,78.836,83,75,2.57,broken clouds
102,Contamana,PE,-7.3333,-75.0167,80.24,75,94,1.56,overcast clouds
103,Muros,ES,42.7762,-9.0603,55.832,75,100,7.42,light rain
104,Springs,ZA,-26.25,28.4,70.43,68,4,1.08,clear sky
105,Arraial Do Cabo,BR,-22.9661,-42.0278,78.764,69,40,2.06,scattered clouds
106,Strezhevoy,RU,60.7333,77.5889,18.32,73,98,5.12,overcast clouds
107,Port Elizabeth,ZA,-33.918,25.5701,76.1,68,0,6.69,clear sky
108,Amapa,BR,1,-52,77.558,94,100,0.12,overcast clouds
109,La Rioja,ES,42.25,-2.5,47.984,69,100,2.44,overcast clouds
110,Cradock,ZA,-32.1642,25.6192,80.996,22,91,6.25,overcast clouds
111,Millerovo,RU,48.9226,40.3967,57.704,39,26,3.91,scattered clouds
112,Port-Gentil,GA,-0.7193,8.7815,82.616,76,96,3.23,overcast clouds
113,Sawakin,SD,19.1059,37.3321,83.75,64,5,5.07,clear sky
114,Cuamba,MZ,-14.8031,36.5372,76.388,77,100,1.86,overcast clouds
115,Filadelfia,US,39.9523,-75.1638,59.27,49,100,5.14,overcast clouds
116,Kokstad,ZA,-30.5472,29.4241,70.268,63,92,1.07,overcast clouds
117,Saint George,US,37.1041,-113.5841,66.794,35,0,4.63,clear sky
118,Nauta,PE,-4.5061,-73.5757,73.418,98,100,0.47,light rain
119,Sur,OM,22.5667,59.5289,88.538,49,22,1.22,few clouds
120,Chimbarongo,CL,-34.7,-71.05,55.868,52,100,0.7,overcast clouds
121,Vyshkov,RU,52.4764,31.6873,51.728,60,66,5.61,broken clouds
122,Plettenberg Bay,ZA,-34.0527,23.3716,68.792,75,13,1.88,few clouds
123,Natal,BR,-5.795,-35.2094,88.016,66,75,6.17,broken clouds
124,Conde,BR,-7.2597,-34.9075,87.26,62,40,4.63,scattered clouds
125,Carutapera,BR,-1.195,-46.02,84.902,69,26,2.71,scattered clouds
126,Semey,KZ,50.4111,80.2275,55.616,71,75,7,moderate rain
127,Fougamou,GA,-1.2154,10.5838,93.434,49,92,1.2,overcast clouds
128,Doba,TD,8.65,16.85,98.348,16,100,0.68,overcast clouds
129,Tela,HN,15.7833,-87.45,80.546,78,40,1.03,scattered clouds
130,Nokha,IN,27.6,73.4167,91.688,15,18,4.46,few clouds
131,Piacabucu,BR,-10.4056,-36.4344,84.38,66,53,3.4,broken clouds
132,Kutum,SD,14.2,24.6667,94.676,10,89,4.01,overcast clouds
133,Vila Velha,BR,-20.3297,-40.2925,84.146,64,0,5.66,clear sky
134,Aquiraz,BR,-3.9014,-38.3911,86.09,71,71,5.07,broken clouds
135,Gornyak,RU,50.9942,81.4661,50.216,84,100,6.35,overcast clouds
136,Middelburg,ZA,-25.7751,29.4648,70.142,41,12,2.03,few clouds
137,Nanortalik,GL,60.1432,-45.2371,37.256,72,100,11.42,overcast clouds
138,Pisco,PE,-13.7,-76.2167,69.854,73,37,3.6,mist
139,Giddarbaha,IN,30.2,74.6667,86.99,24,46,4.3,scattered clouds
140,Boden,SE,65.8252,21.6886,46.4,84,100,1.59,overcast clouds
141,Tacoronte,ES,28.4769,-16.4102,62.168,68,40,7.2,scattered clouds
142,Azare,NG,11.6765,10.1948,102.236,12,92,2.31,overcast clouds
143,Pangnirtung,CA,66.1451,-65.7125,15.8,62,75,3.6,broken clouds
144,Manicore,BR,-5.8092,-61.3003,81.032,77,99,1.17,overcast clouds
145,Tonneins,FR,44.3921,0.3124,62.42,85,95,1.32,overcast clouds
146,Tarko-Sale,RU,64.9225,77.785,7.43,89,91,2.52,overcast clouds
147,Vila Franca Do Campo,PT,37.7167,-25.4333,61.214,66,100,7.01,overcast clouds
148,Aksum,ET,14.1245,38.7244,75.542,32,97,3.98,overcast clouds
149,Coruripe,BR,-10.1256,-36.1756,84.956,63,80,3.48,broken clouds
150,Salalah,OM,17.0151,54.0924,84.29,74,0,6.17,clear sky
151,Delemont,CH,47.3649,7.3445,66.722,42,77,3.46,broken clouds
152,Melfi,IT,40.9965,15.6514,60.494,64,100,5.69,overcast clouds
153,Cockburn Town,TC,21.4612,-71.1419,80.564,69,75,7.2,broken clouds
154,Walvis Bay,NA,-22.9575,14.5053,83.354,42,0,5.66,clear sky
155,Belyy Yar,RU,53.6039,91.3903,44.852,81,75,2,light intensity shower rain
156,Macas,EC,-2.3167,-78.1167,67.118,95,100,0.13,light rain
157,Ereymentau,KZ,51.6199,73.1033,46.076,67,89,6.17,overcast clouds
158,Ribeira Grande,PT,38.5167,-28.7,61.196,55,40,5.66,scattered clouds
159,Richards Bay,ZA,-28.783,32.0377,77.126,56,0,5.37,clear sky
160,Laela,TZ,-8.5667,32.05,73.076,63,96,1.27,light rain
161,Borba,BR,-4.3878,-59.5939,75.074,91,100,0.48,overcast clouds
162,Margate,GB,51.3813,1.3862,62.114,69,10,3.13,clear sky
163,Araouane,ML,18.9048,-3.5265,101.192,8,1,5.86,clear sky
164,Rawson,AR,-43.3002,-65.1023,59.432,36,100,6.05,overcast clouds
165,Spirovo,RU,57.419,34.9766,50.756,60,81,3.88,broken clouds
166,Puerto Montt,CL,-41.4698,-72.9447,54.428,100,75,3.6,broken clouds
167,Kuybysheve,UA,47.358,36.6491,43.808,80,100,1.32,light rain
168,Hambantota,LK,6.1241,81.1185,80.942,100,20,1.54,few clouds
169,Tiznit,MA,29.5833,-9.5,68.144,37,0,6.22,clear sky
170,Inirida,CO,3.8653,-67.9239,81.032,78,100,0.78,overcast clouds
171,Sabha,LY,27.0377,14.4283,95.36,8,89,7.62,overcast clouds
172,Mezen,RU,65.8522,44.24,36.23,64,12,2.17,few clouds
173,Catamarca,AR,-28.4696,-65.7852,74.588,58,0,0.89,clear sky
174,Takoradi,GH,4.8845,-1.7554,85.784,67,100,1.57,moderate rain
175,Ostrovnoy,RU,68.0531,39.5131,34.592,96,100,7.47,light snow
176,Skagen,DK,57.7209,10.5839,50.54,71,63,8.89,broken clouds
177,Castro,BR,-24.7911,-50.0119,71.438,55,3,2.15,clear sky
178,Lamin,GM,13.3522,-16.4339,93.308,34,65,4.55,broken clouds
179,Guder,ET,8.9667,37.7667,80.294,31,98,0.35,overcast clouds
180,Grado,ES,43.388,-6.0743,60.674,59,20,2.57,few clouds
181,Eenhana,NA,-17.4667,16.3333,82.112,22,38,2.69,scattered clouds
182,Marzuq,YE,14.4,46.4667,85.118,22,0,5.56,clear sky
183,Sorland,NO,67.667,12.6934,46.256,71,75,4.12,broken clouds
184,Golspie,GB,57.9727,-3.978,58.136,67,75,6.7,broken clouds
185,Umm Lajj,SA,25.0213,37.2685,79.25,60,100,5.61,overcast clouds
186,Albany,US,42.6001,-73.9662,54.626,45,100,2.24,overcast clouds
187,Kangaatsiaq,GL,68.3065,-53.4641,23.972,69,100,6.67,overcast clouds
188,Siret,RO,47.95,26.0667,58.226,71,100,2.79,overcast clouds
189,Tessalit,ML,20.1986,1.0114,99.806,7,0,6.07,clear sky
